Key,English,German,Simplified English,Simplified German
Swipe,- Swipe to Start -,- Wische zum Starten -,- Swipe to Start -,- Wische zum Starten -
B1.Options,Options,Optionen,Options,Optionen
AllesFresh,Are you still playing?,Bist du noch da?,Are you still playing?,Bist du noch da?
continue1,Proceed to the first game?,Weiter zum ersten Spiel?,Proceed to the first game?,Weiter zum ersten Spiel?
continue2,Proceed to the second game?,Weiter zum zweiten Spiel?,Proceed to the second game?,Weiter zum zweiten Spiel?
yes,Yes,Ja,Yes,Ja
no,No,Nein,No,Nein
ResetButton,Reset,Zurücksetzen ,Reset,Zurücksetzen 
BestGroup,- The Best Group -,- Die Beste Gruppe -,- The Best Group -,- Die Beste Gruppe -
ProjectTitle,The SLM Project,Das SLM Projekt,The SLM Project,Das SLM Projekt
zibiddydoo,"<size=21>A student project from the</size=23> 
<b>Cologne Game Lab</b>
<size=21>for the Siegerlandmuseum.","<size=23>Ein Studenten Projekt des </size=23>
<b>Cologne Game Lab</b>
<size=23>für das Siegerlandmuseum ","<size=21>A student project from the</size=23> 
<b>Cologne Game Lab</b>
<size=21>for the Siegerlandmuseum.","<size=23>Ein Studenten Projekt des </size=23>
<b>Cologne Game Lab</b>
<size=23>für das Siegerlandmuseum "
NewPages,New pages are available!,Neue Seiten sind verfügbar!,New pages are available!,Neue Seiten sind verfügbar!
,,,,
BP1Title,"  I. Slavery at the 
      court of Johan Maurits","  I. Sklaverei am Hof 
      von Johann Moritz","  I. Slavery at the 
      court of Johan Maurits","  I. Sklaverei am Hof 
      von Johann Moritz"
BP1,"1636 was a significant year for Johan Maurits van Nassau-Siegen. The Dutch West India Company (WIC) appointed him as the governor of Dutch Brazil. 
The colony achieved immense prosperity and prestige under his influence and considerable use of unfree labor.",1636 war ein bedeutsames Jahr für Johann Moritz von Nassau-Siegen. Die Westindische Handelskompa-nie (WIC) ernannte ihn zum Statt-halter von Niederländisch-Brasi-lien. Unter seinem Einfluss und dem überwiegenden Einsatz von unfreien Arbeitskräften gelangte die Kolonie zu ungeahntem Wohl-stand und Prestige.,"Roughly four hundred years ago, Johan Maurits van Nassau-Siegen was very happy. His employer, the Dutch West India Company (WIC), sent him to Brazil to oversee a Dutch colony. He was very successful there. One of the reasons was the large number of enslaved people that were brought from Africa to work there. ","Vor etwa vierhundert Jahren hat sich Johann Moritz von Nassau-Siegen sehr gefreut. Sein Arbeit-geber, die Westindische Handels-kompanie (WIC), hat ihn nach Brasilien geschickt, wo er die Niederländische Kolonie kontrol-lieren sollte. Er hat dabei sehr viel Erfolg gehabt, unter anderem auch, weil dort viele versklavte Menschen Arbeit leisteten."
